9/2/2018,12:04 AM,27.3 °C,81 %,1016.1 hPa
9/2/2018,12:09 AM,27.4 °C,81 %,1016.1 hPa
9/2/2018,12:14 AM,27.4 °C,79 %,1016.1 hPa
9/2/2018,12:19 AM,26.6 °C,75 %,1016.1 hPa
9/2/2018,12:24 AM,26.2 °C,79 %,1016.1 hPa
9/2/2018,12:29 AM,26.3 °C,82 %,1016.1 hPa
9/2/2018,12:34 AM,26.4 °C,84 %,1016.1 hPa
9/2/2018,12:39 AM,26.6 °C,83 %,1016.1 hPa
9/2/2018,12:44 AM,26.6 °C,80 %,1016.1 hPa
9/2/2018,12:49 AM,26.6 °C,81 %,1015.8 hPa
9/2/2018,12:54 AM,26.7 °C,82 %,1015.8 hPa
9/2/2018,12:59 AM,26.8 °C,83 %,1015.8 hPa
9/2/2018,1:04 AM,26.8 °C,83 %,1015.8 hPa
9/2/2018,1:09 AM,26.7 °C,83 %,1015.8 hPa
9/2/2018,1:14 AM,26.8 °C,83 %,1015.8 hPa
9/2/2018,1:19 AM,26.8 °C,83 %,1015.8 hPa
9/2/2018,1:24 AM,26.8 °C,82 %,1015.8 hPa
9/2/2018,1:29 AM,26.8 °C,82 %,1015.5 hPa
9/2/2018,1:34 AM,26.8 °C,82 %,1015.5 hPa
9/2/2018,1:39 AM,26.8 °C,82 %,1015.5 hPa
9/2/2018,1:44 AM,26.8 °C,81 %,1015.5 hPa
9/2/2018,1:49 AM,26.8 °C,82 %,1015.5 hPa
9/2/2018,1:54 AM,26.8 °C,81 %,1015.1 hPa
9/2/2018,1:59 AM,26.8 °C,81 %,1015.1 hPa
9/2/2018,2:04 AM,26.8 °C,82 %,1015.5 hPa
9/2/2018,2:09 AM,26.8 °C,82 %,1015.1 hPa
9/2/2018,2:14 AM,26.8 °C,82 %,1015.5 hPa
9/2/2018,2:19 AM,26.8 °C,82 %,1015.5 hPa
9/2/2018,2:24 AM,26.7 °C,82 %,1015.1 hPa
9/2/2018,2:29 AM,26.7 °C,82 %,1015.1 hPa
9/2/2018,2:34 AM,26.7 °C,83 %,1015.1 hPa
9/2/2018,2:39 AM,26.7 °C,83 %,1015.1 hPa
